vessel_imo,vessel_name,vessel_flag,vessel_type,eta_place_name,eta_country_name,eta_date,last_reported_port,last_reported_country,last_reported_port_sail_date,destination_port,destination_country,vessel_technical_manager
9459101,NOBILITY,Liberia,Cargo,HONOLULU,UNITED STATES (USA),06/09/2022, , , ,HONOLULU,UNITED STATES (USA), 
9443853,GRAND ACE11,South Korea,Tanker,ANCHORAGE,UNITED STATES (USA),06/13/2022, , , ,ANCHORAGE,UNITED STATES (USA), 
9692325,SILVER ZOE,Marshall Islands,Tanker,LOS ANGELES,UNITED STATES (USA),06/13/2022, , , ,LOS ANGELES,UNITED STATES (USA), 
9347425,SM KWANGYANG,Liberia,Cargo,LONG BEACH,UNITED STATES (USA),06/20/2022, , , ,LONG BEACH,UNITED STATES (USA), 
9348687,SEATTLE EXPRESS,Liberia,Cargo,SEATTLE,UNITED STATES (USA),06/12/2022, , , ,SEATTLE,UNITED STATES (USA), 
9316880,KAVO PALOMA,Marshall Islands,Cargo,KALAMA,UNITED STATES (USA),06/11/2022, , , ,KALAMA,UNITED STATES (USA), 
9312937,SM NINGBO,South Korea,Cargo,LOS ANGELES,UNITED STATES (USA),06/09/2022, , , ,LOS ANGELES,UNITED STATES (USA), 
9788887,GULF SUNRISE,Panama,Tanker,LONG BEACH,UNITED STATES (USA),06/19/2022, , , ,LONG BEACH,UNITED STATES (USA), 
9522269,GAS PRIDE,Liberia,Tanker,CORPUS CHRISTI,UNITED STATES (USA),06/09/2022, , , ,CORPUS CHRISTI,UNITED STATES (USA), 
9559872,BBC NAGASAKI,Antigua and Barbuda,Cargo,HOUSTON,UNITED STATES (USA),06/11/2022, , , ,HOUSTON,UNITED STATES (USA), 
9749556,BALLA,Malta,Tanker,PORT NECHES,UNITED STATES (USA),06/12/2022, , , ,PORT NECHES,UNITED STATES (USA), 
9391438,ALPINE MOMENT,Hong Kong,Tanker,HOUSTON,UNITED STATES (USA),06/10/2022, , , ,HOUSTON,UNITED STATES (USA), 
9833668,NAVIG8 GALLANTRY,Liberia,Tanker,LAKE CHARLES,UNITED STATES (USA),06/11/2022, , , ,LAKE CHARLES,UNITED STATES (USA), 
9682344,SILVER MONIKA,Marshall Islands,Tanker,PORT ARTHUR,UNITED STATES (USA),06/12/2022, , , ,PORT ARTHUR,UNITED STATES (USA), 
9761839,SM SEAHAWK,Panama,Tanker,SABINE PASS,UNITED STATES (USA),06/12/2022, , , ,SABINE PASS,UNITED STATES (USA), 
9692296,SILVER PHILIPPA,Marshall Islands,Tanker,BEAUMONT,UNITED STATES (USA),06/12/2022, , , ,BEAUMONT,UNITED STATES (USA), 
9580118,CAPETAN VASSILIS II,Bahamas,Cargo,NEW ORLEANS,UNITED STATES (USA),06/03/2022, , , ,NEW ORLEANS,UNITED STATES (USA), 
9789257,ATLANTIC FALCON,Marshall Islands,Tanker,HOUSTON,UNITED STATES (USA),06/13/2022, , , ,HOUSTON,UNITED STATES (USA), 
9403023,THOR CONFIDENCE,Singapore,Cargo,CORPUS CHRISTI,UNITED STATES (USA),06/11/2022, , , ,CORPUS CHRISTI,UNITED STATES (USA), 
9613290,BRASSIANA,Marshall Islands,Cargo,SAINT BERNARD,UNITED STATES (USA),06/13/2022, , , ,SAINT BERNARD,UNITED STATES (USA), 
8911607,MONONOK,South Korea,Cargo,DUTCH HARBOR,UNITED STATES (USA),05/22/2022, , , ,DUTCH HARBOR,UNITED STATES (USA), 
9332183,ATLANTIC EAGLE,Hong Kong,Tanker,HONOLULU,UNITED STATES (USA),06/10/2022, , , ,HONOLULU,UNITED STATES (USA), 
9557238,CETUS,Marshall Islands,Cargo,LOS ANGELES,UNITED STATES (USA),06/08/2022, , , ,LOS ANGELES,UNITED STATES (USA), 
9692313,SILVER CAITRIONA,Marshall Islands,Tanker,LONG BEACH,UNITED STATES (USA),06/13/2022, , , ,LONG BEACH,UNITED STATES (USA), 
9608697,KONSTANTINOS,Liberia,Cargo,LONG BEACH,UNITED STATES (USA),06/14/2022, , , ,LONG BEACH,UNITED STATES (USA), 
9323510,HYUNDAI BANGKOK,South Korea,Cargo,LOS ANGELES,UNITED STATES (USA),06/13/2022, , , ,LOS ANGELES,UNITED STATES (USA), 
9303182,GRAND COSMO,Panama,Cargo,SAN DIEGO,UNITED STATES (USA),06/14/2022, , , ,SAN DIEGO,UNITED STATES (USA), 
9451898,GLOVIS COUGAR,South Korea,Cargo,BRUNSWICK,UNITED STATES (USA),06/15/2022, , , ,BRUNSWICK,UNITED STATES (USA), 
9683673,VL BRILLIANT,Panama,Tanker,GALVESTON,UNITED STATES (USA),06/05/2022, , , ,GALVESTON,UNITED STATES (USA), 
9798959,ATLANTIC MARBLE,Marshall Islands,Tanker,HOUSTON,UNITED STATES (USA),06/09/2022, , , ,HOUSTON,UNITED STATES (USA), 
9749544,DONG-A MAIA,Panama,Tanker,MEXICO,UNITED STATES (USA),06/11/2022, , , ,MEXICO,UNITED STATES (USA), 
9683398,SILVER ROTTERDAM,Panama,Tanker,HOUSTON,UNITED STATES (USA),06/14/2022, , , ,HOUSTON,UNITED STATES (USA), 
9718430,SILVER ETREMA,Marshall Islands,Tanker,NEW ORLEANS,UNITED STATES (USA),06/10/2022, , , ,NEW ORLEANS,UNITED STATES (USA), 
9717761,TURQUOISE,Marshall Islands,Tanker,BATON ROUGE,UNITED STATES (USA),06/12/2022, , , ,BATON ROUGE,UNITED STATES (USA), 
9626302,STRATEGIC TENACITY,Singapore,Cargo,PORT ISABEL,UNITED STATES (USA),06/11/2022, , , ,PORT ISABEL,UNITED STATES (USA), 
9323895,WAVE RUNNER,Liberia,Cargo,NEW ORLEANS,UNITED STATES (USA),06/12/2022, , , ,NEW ORLEANS,UNITED STATES (USA), 
9313462,LILA RHINE,Liberia,Tanker,GULF BREEZE,UNITED STATES (USA),06/12/2022, , , ,GULF BREEZE,UNITED STATES (USA), 
9478597,CARINA,Liberia,Cargo,HOUSTON,UNITED STATES (USA),06/15/2022, , , ,HOUSTON,UNITED STATES (USA), 
9683348,SILVER GERTRUDE,Panama,Tanker,GULF BREEZE,UNITED STATES (USA),06/14/2022, , , ,GULF BREEZE,UNITED STATES (USA), 
9798935,ATLANTIC JOURNEY,Marshall Islands,Tanker,BATON ROUGE,UNITED STATES (USA),06/15/2022, , , ,BATON ROUGE,UNITED STATES (USA), 
9347592,HYUNDAI INTEGRAL,South Korea,Cargo,SAVANNAH,UNITED STATES (USA),06/08/2022, , , ,SAVANNAH,UNITED STATES (USA), 
9637246,HYUNDAI DRIVE,South Korea,Cargo,SAVANNAH,UNITED STATES (USA),06/15/2022, , , ,SAVANNAH,UNITED STATES (USA), 
9303170,GRAND DUKE,Panama,Cargo,BALTIMORE,UNITED STATES (USA),06/10/2022, , , ,BALTIMORE,UNITED STATES (USA), 
9607007,GLOVIS MELODY,Bahamas,Cargo,BALTIMORE,UNITED STATES (USA),06/12/2022, , , ,BALTIMORE,UNITED STATES (USA), 
9388883,BBC TEXAS,Antigua and Barbuda,Cargo,PORT ARTHUR,UNITED STATES (USA),06/16/2022, , , ,PORT ARTHUR,UNITED STATES (USA), 
9414876,GLOVIS CONDOR,South Korea,Cargo,PHILADELPHIA,UNITED STATES (USA),06/12/2022, , , ,PHILADELPHIA,UNITED STATES (USA), 
9189366,MSC TAVVISHI,Liberia,Cargo,NEW YORK,UNITED STATES (USA),06/16/2022, , , ,NEW YORK,UNITED STATES (USA), 
9705744,CHEM ALTAMIRA,Liberia,Tanker,BAYONNE,UNITED STATES (USA),06/07/2022, , , ,BAYONNE,UNITED STATES (USA), 
9291389,THOR MADOC,Singapore,Cargo,PROVIDENCE,UNITED STATES (USA),06/13/2022, , , ,PROVIDENCE,UNITED STATES (USA), 
9338723,MORNING CAROLINE,Panama,Cargo,NEW YORK,UNITED STATES (USA),06/12/2022, , , ,NEW YORK,UNITED STATES (USA), 
9268916,S-BRAND,Liberia,Cargo,NORFOLK,UNITED STATES (USA),06/13/2022, , , ,NORFOLK,UNITED STATES (USA), 
9670004,GAS STAR,Panama,Tanker,NEDERLAND,UNITED STATES (USA),06/19/2022, , , ,NEDERLAND,UNITED STATES (USA), 
9842516,SM SANTOS,Marshall Islands,Cargo,CONVENT,UNITED STATES (USA),06/21/2022, , , ,CONVENT,UNITED STATES (USA), 
9398412,ZIM SAN DIEGO,Liberia,Cargo,SAVANNAH,UNITED STATES (USA),06/15/2022, , , ,SAVANNAH,UNITED STATES (USA), 
9393321,MSC ELAINE,Panama,Cargo,NEWARK,UNITED STATES (USA),06/17/2022, , , ,NEWARK,UNITED STATES (USA), 
9793997,PHILOTIMOS,Malta,Tanker,NEW YORK,UNITED STATES (USA),06/19/2022, , , ,NEW YORK,UNITED STATES (USA), 
9619464,MSC AGADIR,Hong Kong,Cargo,NEW YORK,UNITED STATES (USA),06/19/2022, , , ,NEW YORK,UNITED STATES (USA), 
9883819,HLS AMBER,Liberia,Tanker,FREEPORT,UNITED STATES (USA),06/25/2022, , , ,FREEPORT,UNITED STATES (USA), 
9873022,ALM AUSTRAL,Panama,Cargo,OCEAN CITY,UNITED STATES (USA),06/12/2022, , , ,OCEAN CITY,UNITED STATES (USA), 
9873034,ALM ARIES,Panama,Cargo,OCEAN CITY,UNITED STATES (USA),06/07/2022, , , ,OCEAN CITY,UNITED STATES (USA), 
9872731,ALM AQUARIUS,Panama,Cargo,OCEAN CITY,UNITED STATES (USA),06/09/2022, , , ,OCEAN CITY,UNITED STATES (USA), 
9383417,MORNING LISA,Panama,Cargo,BALTIMORE,UNITED STATES (USA),06/19/2022, , , ,BALTIMORE,UNITED STATES (USA), 
9476721,GLOVIS COUNTESS,Marshall Islands,Cargo,MEXICO,UNITED STATES (USA),06/12/2022, , , ,MEXICO,UNITED STATES (USA), 
9851854,C. GUARDIAN,Liberia,Tanker,CORPUS CHRISTI,UNITED STATES (USA),06/30/2022, , , ,CORPUS CHRISTI,UNITED STATES (USA), 
9416109,SONGA WINDS,Marshall Islands,Tanker,ANTWERP,UNITED STATES (USA),06/11/2022, , , ,ANTWERP,UNITED STATES (USA), 
9498846,CORNELIE OLDENDORFF,Liberia,Cargo,ANTWERP,UNITED STATES (USA),05/27/2022, , , ,ANTWERP,UNITED STATES (USA), 
9877822,COSMIC GLORY,Marshall Islands,Tanker,NEW YORK,UNITED STATES (USA),06/24/2022, , , ,NEW YORK,UNITED STATES (USA), 
9746229,CITRINE!,Marshall Islands,Tanker,MOBILE,UNITED STATES (USA),03/29/2022,SAN PEDRO DE MACORIS,DOMINICAN REPUBLIC, ,MOBILE,UNITED STATES (USA), 
9484936,EXPRESS ROME,Liberia,Cargo,NEW YORK,UNITED STATES (USA),06/22/2022, , , ,NEW YORK,UNITED STATES (USA), 
9844095,SEA SHANGHAI,Panama,Cargo,MINNEAPOLIS/ST PAUL APT,UNITED STATES (USA),07/01/2022, , , ,MINNEAPOLIS/ST PAUL APT,UNITED STATES (USA), 
9481788,DONGBANG GIANT NO.2,South Korea,Cargo,CANANDAIGUA,UNITED STATES (USA),06/15/2022, , , ,CANANDAIGUA,UNITED STATES (USA), 
9683374,SILVER LONDON,Panama,Tanker,MARTINEZ,UNITED STATES (USA),06/28/2022, , , ,MARTINEZ,UNITED STATES (USA), 
9742168,HMM PROMISE,South Korea,Cargo,LONG BEACH,UNITED STATES (USA),06/11/2022, , , ,LONG BEACH,UNITED STATES (USA), 
8815009,POSYET,Russian Federation,Cargo,NOME,UNITED STATES (USA),06/01/2022, , , ,NOME,UNITED STATES (USA), 
