vessel_imo,vessel_name,vessel_flag,vessel_type,eta_place_name,eta_country_name,eta_date,last_reported_port,last_reported_country,last_reported_port_sail_date,destination_port,destination_country,vessel_technical_manager
9377432,MEDIA,Panama,Tanker,VUDA,FIJI,06/16/2022, , , ,VUDA,FIJI, 
9391426,ALPINE MIA,Hong Kong,Tanker,NAPA NAPA,PAPUA NEW GUINEA,06/02/2022, , , ,NAPA NAPA,PAPUA NEW GUINEA, 
9683386,SILVER HAGUE,Panama,Tanker,NAPA NAPA,PAPUA NEW GUINEA,06/11/2022, , , ,NAPA NAPA,PAPUA NEW GUINEA, 
9723904,SM DRAGON,Panama,Cargo,PORT WALCOTT,AUSTRALIA,07/09/2022, , , ,PORT WALCOTT,AUSTRALIA, 
9890915,PAN OPTIMUM,Panama,Cargo,PORT LINCOLN,AUSTRALIA,06/28/2022, , , ,PORT LINCOLN,AUSTRALIA, 
9041899,AM ELIZABETH,Ghana,Cargo,LYTTELTON,NEW ZEALAND,06/09/2022, , , ,LYTTELTON,NEW ZEALAND, 
9465162,OCEAN DIAMOND,Liberia,Cargo,BOOBY ISLAND,AUSTRALIA,06/20/2022, , , ,BOOBY ISLAND,AUSTRALIA, 
9402043,BBC CAROLINA,Antigua and Barbuda,Cargo,GERALDTON,AUSTRALIA,05/12/2022, , , ,GERALDTON,AUSTRALIA, 
9366275,HIGH MARS,Hong Kong,Tanker,ADELAIDE,AUSTRALIA,06/17/2022, , , ,ADELAIDE,AUSTRALIA, 
9597680,M/V JOO HYE,South Korea,Cargo,KWINANA,AUSTRALIA,06/12/2022, , , ,KWINANA,AUSTRALIA, 
9694995,NANI K,Marshall Islands,Cargo,KWINANA,AUSTRALIA,06/12/2022, , , ,KWINANA,AUSTRALIA, 
9657026,DL LAVENDER,Liberia,Cargo,NEWCASTLE,AUSTRALIA,06/25/2022, , , ,NEWCASTLE,AUSTRALIA, 
9613783,K.HOPE,Panama,Cargo,PORT WALCOTT,AUSTRALIA,06/08/2022, , , ,PORT WALCOTT,AUSTRALIA, 
9595876,CK BLUEBELL,South Korea,Cargo,ALBANY,AUSTRALIA,06/07/2022, , , ,ALBANY,AUSTRALIA, 
9723899,SM LION,Panama,Cargo,PORT HEDLAND,AUSTRALIA,06/06/2022, , , ,PORT HEDLAND,AUSTRALIA, 
