"IMO No,",Flag,Ship Name(E),Ship Type,Company  Name,Email(Company),Email(PIC)
7932903,KOREA,KOBEE V,PASSENGER SHIP,,,
8720400,KOREA,JANGHO YOUNG,CARGO SHIP,,,
8921884,KOREA,DUCKYANG GAS,LIQUEFIED GAS CARRIER,,,
9001057,KOREA,HEUNG-A PUSAN,CONTAINER SHIP,,,
9065106,THAILAND,CHETTHANABODI 2,OIL TANKER 'ESP',,,
9073000,KOREA,SAYAKA,CARGO SHIP,,,
9084011,KOREA,SHIZKA,CARGO SHIP,,,
9087128,SINGAPORE,MARINE PRESTIGE,OIL TANKER 'ESP',,,
9115602,KOREA,DONGMYUNG HOPE,CARGO SHIP,,,
9128996,KOREA,HEUNG-A ULSAN,CONTAINER SHIP,,,
9129005,KOREA,HEUNG-A TOKYO,CONTAINER SHIP,,,
9153123,THAILAND,PS CHALALAI 1,CONTAINER SHIP,,,
9162150,KOREA,PANSTAR DREAM,PASSENGER SHIP,,,
9167306,KOREA,GLOBAL NUBIRA,CONTAINER SHIP,,,
9143491,GREECE,FIOR DI LEVANTE,PASSENGER SHIP,,,
8944111,KOREA,ASAKA,CARGO SHIP,,,
9185580,KOREA,YOUNGSAN GAS,LIQUEFIED GAS CARRIER,,,
9207156,KOREA,YU JIN,CARGO SHIP,,,
8952467,KOREA,IRUKA,CARGO SHIP,,,
9248007,KOREA,OCEAN FLOWER,PASSENGER SHIP,,,
9241700,KOREA,SEONG HEE,PASSENGER SHIP,,,
9282596,SINGAPORE,PACIFIC WISE,OIL TANKER 'ESP',,,
9262273,KOREA,MORNING SUN,CARGO SHIP,,,
9317286,KOREA,GAS BROADWAY,LIQUEFIED GAS CARRIER,,,
9376177,KOREA,STAR REX,BULK CARRIER 'ESP',,,
9384071,SINGAPORE,PACIFIC FAITH,OIL TANKER(DOUBLE HULL) 'ESP',,,
9384083,SINGAPORE,PACIFIC SPIRIT,OIL TANKER(DOUBLE HULL) 'ESP',,,
9467823,SINGAPORE,GOLDEN PIONEER,OIL TANKER(DOUBLE HULL)(EXP) 'ESP',,,
9655377,SINGAPORE,GOLDEN JUBILEE,OIL TANKER(DOUBLE HULL)(EXP),,,
9653056,TURKEY,SIYA,PASSENGER SHIP,,,
9691759,SINGAPORE,NOC 7,OIL TANKER(DOUBLE HULL)(EXP) 'ESP',,,
9691747,SINGAPORE,NOC 8,OIL TANKER(DOUBLE HULL)(EXP) 'ESP',,,
9787728,SINGAPORE,DEW,CARGO SHIP,,,
9829253,INDONESIA,SPIL HAYU,CONTAINER SHIP,,,
9875599,INDONESIA,NEW GLOBAL,CHEMICAL TANKER 'ESP',,,
8713952,KOREA,FINE HANA,OIL/CHEMICAL TANKER(DOUBLE HULL)(EXP) 'ESP',,,
8715326,KOREA,DRAGON SKY,CARGO SHIP,,,
8811132,KOREA,JA YANG,CARGO SHIP,,,
8920127,KOREA,BUSAN GAS,LIQUEFIED GAS CARRIER,,,
9003964,KOREA,PRETTY HANA,OIL/CHEMICAL TANKER(DOUBLE HULL)(EXP) 'ESP',,,
9005302,KOREA,DAE YANG,CARGO SHIP,,,
9016466,KOREA,ACE TRANSIA,OIL/CHEMICAL TANKER(DOUBLE HULL)(EXP) 'ESP',,,
9001306,CYPRUS,DALEELA,PASSENGER SHIP,,,
9033373,PANAMA,STAR GATE,CARGO SHIP,,,
9032305,KOREA,CHEM TRANSIA,OIL/CHEMICAL TANKER(DOUBLE HULL)(EXP) 'ESP',,,
9041899,KOREA,SM 3,CARGO SHIP,,,
9036363,KOREA,EIWA MARU 7,OIL/CHEMICAL TANKER(DOUBLE HULL) 'ESP',,,
9033842,PANAMA,BR FAIRY,CARGO SHIP,,,
9046590,KOREA,STO VIOLET,OIL/CHEMICAL TANKER(DOUBLE HULL)(EXP) 'ESP',,,
9014121,KOREA,DOOWOO FAMILY,CONTAINER SHIP,,,
9062192,KOREA,SKY ACE 3,OIL/CHEMICAL TANKER(DOUBLE HULL)(EXP) 'ESP',,,
9058139,KOREA,EIWA MARU 8,OIL/CHEMICAL TANKER(DOUBLE HULL)(EXP) 'ESP',,,
9044102,KOREA,TOWDAH HANA,OIL/CHEMICAL TANKER 'ESP',,,
8869701,KOREA,HAEDUCK OKPO,CARGO SHIP,,,
9072692,KOREA,DH 5,CARGO SHIP,,,
9066710,PANAMA,EASTERN DREAM,PASSENGER SHIP,,,
9078531,KOREA,JNS-3,CARGO SHIP,,,
9103623,KOREA,JANGHO WIN,CARGO SHIP,,,
9102356,KOREA,ACE SAMBU,CHEMICAL TANKER 'ESP',,,
9103570,KOREA,SS NOA,CARGO SHIP,,,
8875968,KOREA,105 HYODONG CHEMI,OIL/CHEMICAL TANKER(DOUBLE HULL)(EXP) 'ESP',,,
9104201,KOREA,AZUREE HANA,OIL/CHEMICAL TANKER(DOUBLE HULL)(EXP) 'ESP',,,
8877825,KOREA,SUNG JIN,CARGO SHIP,,,
