portcode,country_code,city_code,country_name,city_name,index
AEABU,AE,ABU,UNITED ARAB EMIRATES (UAE),ABU AL BUKHOOSH,0
AEAJM,AE,AJM,UNITED ARAB EMIRATES (UAE),AJMAN,1
AEARP,AE,ARP,UNITED ARAB EMIRATES (UAE),AHMED BIN RASHID PORT,2
AEARZ,AE,ARZ,UNITED ARAB EMIRATES (UAE),ARZANAH ISLAND,3
AEAUH,AE,AUH,UNITED ARAB EMIRATES (UAE),ABU DHABI,4
AEDAS,AE,DAS,UNITED ARAB EMIRATES (UAE),DAS ISLAND,5
AEDBP,AE,DBP,UNITED ARAB EMIRATES (UAE),DIBBA,6
AEDER,AE,DER,UNITED ARAB EMIRATES (UAE),DEIRA,7
AEDHF,AE,DHF,UNITED ARAB EMIRATES (UAE),AL DHAFRA,8
AEDXB,AE,DXB,UNITED ARAB EMIRATES (UAE),DUBAI,9
AEFAT,AE,FAT,UNITED ARAB EMIRATES (UAE),FATEH TERMINAL,10
AEFJR,AE,FJR,UNITED ARAB EMIRATES (UAE),AL FUJAYRAH,11
AEFRP,AE,FRP,UNITED ARAB EMIRATES (UAE),FREE PORT,12
AEHAM,AE,HAM,UNITED ARAB EMIRATES (UAE),AL HAMRIYAH,13
AEHTL,AE,HTL,UNITED ARAB EMIRATES (UAE),HULAYLAH TERMINAL,14
AEJAZ,AE,JAZ,UNITED ARAB EMIRATES (UAE),AL JAZEERA PORT,15
AEJEA,AE,JEA,UNITED ARAB EMIRATES (UAE),JEBEL ALI,16
AEJED,AE,JED,UNITED ARAB EMIRATES (UAE),JEBEL DHANNA,17
AEKHL,AE,KHL,UNITED ARAB EMIRATES (UAE),MINA KHALIFA/ABU DHABI,18
AEKLF,AE,KLF,UNITED ARAB EMIRATES (UAE),KHOR AL FAKKAN,19
AEMBS,AE,MBS,UNITED ARAB EMIRATES (UAE),MUBARRAS ISLAND,20
AEMKH,AE,MKH,UNITED ARAB EMIRATES (UAE),MINA KHALID,21
AEMSA,AE,MSA,UNITED ARAB EMIRATES (UAE),MINA SAQR,22
AEMZD,AE,MZD,UNITED ARAB EMIRATES (UAE),MINA ZAYED/ABU DHABI,23
AEOFJ,AE,OFJ,UNITED ARAB EMIRATES (UAE),OFFSHORE FUJAIRAH,24
AEPRA,AE,PRA,UNITED ARAB EMIRATES (UAE),PORT RASHID,25
AEQIW,AE,QIW,UNITED ARAB EMIRATES (UAE),UMM AL QAIWAIN,26
AEQWE,AE,QWE,UNITED ARAB EMIRATES (UAE),JEBEL ALI FREE ZONE,27
AERKT,AE,RKT,UNITED ARAB EMIRATES (UAE),RAS AL KHAIMAH,28
AERUW,AE,RUW,UNITED ARAB EMIRATES (UAE),AR RUWAYS,29
AERWP,AE,RWP,UNITED ARAB EMIRATES (UAE),RUWAIS PORT,30
AESHJ,AE,SHJ,UNITED ARAB EMIRATES (UAE),SHARJAH,31
AESID,AE,SID,UNITED ARAB EMIRATES (UAE),SADIYAT ISLAND,32
AEULR,AE,ULR,UNITED ARAB EMIRATES (UAE),UMM AL NAR,33
AEZUR,AE,ZUR,UNITED ARAB EMIRATES (UAE),ZIRKU ISLAND,34
AGSJO,AG,SJO,ANTIGUA AND BARBUDA,SAINT JOHN'S,35
AL100,AL,100,ALBANIA,VALONA,36
ALDRZ,AL,DRZ,ALBANIA,DURRES,37
ALSAR,AL,SAR,ALBANIA,SARANDE,38
ALSHG,AL,SHG,ALBANIA,SHENGJIN,39
ALVOA,AL,VOA,ALBANIA,VLORE,40
AO100,AO,100,ANGOLA,KIABO MARINE TERMINAL,41
AOAZZ,AO,AZZ,ANGOLA,AMBRIZ,42
AOBUG,AO,BUG,ANGOLA,BENGUELA,43
AOCAB,AO,CAB,ANGOLA,CABINDA,44
AODAL,AO,DAL,ANGOLA,DALIA,45
AOETN,AO,ETN,ANGOLA,ESSUNGO TERMINAL,46
AOFLT,AO,FLT,ANGOLA,FUTILA TERMINAL,47
AOGIM,AO,GIM,ANGOLA,GIMBOA,48
AOGIR,AO,GIR,ANGOLA,GIRASSOL TERMINAL,49
AOGPO,AO,GPO,ANGOLA,GREATER PLUTONIO,50
AOKOT,AO,KOT,ANGOLA,KUITO TERMINAL,51
AOKTI,AO,KTI,ANGOLA,KIAME TERMINAL,52
AOLAA,AO,LAA,ANGOLA,LANDANA (CACONGO),53
AOLAD,AO,LAD,ANGOLA,LUANDA,54
AOLBT,AO,LBT,ANGOLA,LOMBO TERMINAL,55
AOLOB,AO,LOB,ANGOLA,LOBITO,56
AOMAL,AO,MAL,ANGOLA,MALONGO,57
AOMOS,AO,MOS,ANGOLA,MOCAMEDES,58
AOMSZ,AO,MSZ,ANGOLA,NAMIBE,59
AONDD,AO,NDD,ANGOLA,SUMBE,60
AOPAT,AO,PAT,ANGOLA,PALANCA TERMINAL,61
AOPAZ,AO,PAZ,ANGOLA,PAZFLOR FPSO,62
AOPBN,AO,PBN,ANGOLA,PORTO AMBOIM,63
AOPLE,AO,PLE,ANGOLA,PORTO ALEXANDRE (TOMBUA),64
AOSZA,AO,SZA,ANGOLA,SOYO,65
AOTAK,AO,TAK,ANGOLA,TAKULA TERMINAL,66
AQCFZ,AQ,CFZ,ANTARCTICA,COMANDANTE FERRAZ,67
AQMCM,AQ,MCM,ANTARCTICA,MCMURDO,68
AQORC,AQ,ORC,ANTARCTICA,ORCADAS,69
AQPFS,AQ,PFS,ANTARCTICA,PORT FOSTER,70
AQZGN,AQ,ZGN,ANTARCTICA,ZHONGSHAN,71
AR100,AR,100,ARGENTINA,CALETA PAULA,72
AR101,AR,101,ARGENTINA,PUERTO MARTINS,73
ARACF,AR,ACF,ARGENTINA,ARRECIFES,74
ARASO,AR,ASO,ARGENTINA,ARROYO SECO,75
ARATU,AR,ATU,ARGENTINA,ATUCHA,76
ARAVE,AR,AVE,ARGENTINA,AVELLANEDA,77
ARBHI,AR,BHI,ARGENTINA,BAHIA BLANCA,78
ARBSB,AR,BSB,ARGENTINA,BAHIA SAN BLAS,79
ARBUE,AR,BUE,ARGENTINA,BUENOS AIRES,80
ARBUI,AR,BUI,ARGENTINA,INGENIERO BUITRAGO,81
ARCMP,AR,CMP,ARGENTINA,CAMPANA,82
ARCOC,AR,COC,ARGENTINA,CONCORDIA,83
ARCOL,AR,COL,ARGENTINA,COLON,84
ARCON,AR,CON,ARGENTINA,CONCEPCION,85
ARCOU,AR,COU,ARGENTINA,CONCEPCION DEL URUGUAY,86
ARCRD,AR,CRD,ARGENTINA,COMODORO RIVADAVIA,87
ARDGU,AR,DGU,ARGENTINA,DEL GUAZU,88
ARDME,AR,DME,ARGENTINA,DIAMANTE,89
ARIBY,AR,IBY,ARGENTINA,IBICUY,90
ARINW,AR,INW,ARGENTINA,INGENIERO WHITE/BAHIA BLANCA,91
ARJMG,AR,JMG,ARGENTINA,MANUEL B. GONNET,92
ARLPG,AR,LPG,ARGENTINA,LA PLATA,93
ARMDQ,AR,MDQ,ARGENTINA,MAR DEL PLATA,94
ARMED,AR,MED,ARGENTINA,MEDANITOS,95
ARNEC,AR,NEC,ARGENTINA,NECOCHEA,96
AROES,AR,OES,ARGENTINA,SAN ANTONIO OESTE,97
ARPBG,AR,PBG,ARGENTINA,PUERTO BELGRANO/BAHIA BLANCA,98
ARPCO,AR,PCO,ARGENTINA,PUNTA COLORADA,99
ARPLO,AR,PLO,ARGENTINA,PUNTA LOYOLA,100
ARPMO,AR,PMO,ARGENTINA,PUERTO MADERO,101
ARPMY,AR,PMY,ARGENTINA,PUERTO MADRYN,102
ARPRA,AR,PRA,ARGENTINA,PARANA,103
ARPRS,AR,PRS,ARGENTINA,PUERTO ROSALES/BAHIA BLANCA,104
ARPUD,AR,PUD,ARGENTINA,PUERTO DESEADO,105
ARQBR,AR,QBR,ARGENTINA,QUEBRACHO/SAN LORENZO,106
ARQQN,AR,QQN,ARGENTINA,QUEQUEN,107
ARRAM,AR,RAM,ARGENTINA,RAMALLO,108
