mmsi,input,destination,port_code,percent
538007250.0,EC MEC,ec mec,ECMEC,registered
374215000.0,KRKAN,krkan,KRKAN,registered
373432000.0,NZ WLG,nz wlg,NZWLG,registered
441995000.0,CL LQN,cl lqn,CLLQN,registered
440114000.0,PABLB,pablb,PABLB,registered
440292000.0,JPMIZ,jpmiz,JPMIZ,registered
477721200.0,AU/GLT,au glt,AUGLT,registered
477098300.0,HADONG,hadong,KRHDG,registered
371670000.0,"SAMCHEONPO,S.KOREA",samcheonpo s korea,KRSCP,registered
538007526.0,AU NTL,au ntl,AUNTL,registered
538007128.0,AUNTL,auntl,AUNTL,registered
538007072.0,KRYHG,kryhg,KRYCH,registered
538007479.0,KRPUS>CAVAN,cavan,CAVAN,registered
538007542.0,AUGLT,auglt,AUGLT,registered
538007091.0,NEWCASTLE AUS,newcastle aus,AUNTL,registered
441402000.0,KRKPO-AUABP,krkpo auabp,AUABP,registered
441642000.0,AUTSV,autsv,AUTSV,registered
538007318.0,DANGJIN,dangjin,KRTJI,registered
371173000.0,AUDEB,audeb,AUDEB,registered
441429000.0,KR INC,kr inc,KRINC,registered
538005895.0,JPAFG,jpafg,JPAFG,registered
357017000.0,"VANINO,RU",vanino ru,RUVNN,registered
440364000.0,JP TMK,jp tmk,JPTMK,registered
312504000.0,JP HIC,jp hic,JPHIC,registered
538005520.0,JP  SKT,jp skt,JPSKT,registered
373126000.0,>JP NAO,jp nao,JPNAO,registered
441875000.0,JP SMZ,jp smz,JPSMZ,registered
441507000.0,JP FKY,jp fky,JPFKY,registered
441845000.0,JP FNB,jp fnb,JPFNB,registered
440917000.0,>JP CHB OFF,jp chb off,JPCHB,registered
441942000.0,>JP KWS OFF,jp kws off,JPKWS,registered
440066000.0,JP/ICHIKAWA/OFF,jp ichikawa off,JPICK,registered
440157000.0,KR USN/WM,kr usn wm,KRUSN,registered
440864000.0,JP YOK Y-1 OFF,jp yok y 1 off,JPYOK,registered
440056000.0,JP NGO/E,jp ngo e,JPNGO,registered
352986169.0,JPUKB,jpukb,JPUKB,registered
441568000.0,JP UKB P2,jp ukb p2,JPUKB,registered
440748000.0,JP OSA,jp osa,JPOSA,registered
440883000.0,JP SBK,jp sbk,JPSBK,registered
441279000.0,KR INC/WM,kr inc wm,KRINC,registered
441765000.0,>JP OSA H,jp osa h,JPOSA,registered
636021605.0,JP NGO,jp ngo,JPNGO,registered
441818000.0,JP SGM,jp sgm,JPSGM,registered
440686000.0,BUSAN_KR,busan kr,KRPUS,registered
312122000.0,JP OSAKA,jp osaka,JPOSA,registered
352200000.0,AU NTL,au ntl,AUNTL,registered
373143000.0,"YONGHUNG,S.KOREA",yonghung s korea,KRYCH,registered
372290000.0,US PDX   ,us pdx,USPDX,registered
440833000.0,JP FKY AS,jp fky as,JPFKY,registered
441192000.0,RU NJK,ru njk,RUNJK,registered
441183000.0,KR KPO,kr kpo,KRKPO,registered
351690000.0,AUHPT,auhpt,AUHPT,registered
273299190.0,VLADIVOSTOK,vladivostok,RUFIP,registered
351798000.0,ZUH-CN,zuh cn,CNZUH,registered
441261000.0,JP TXD OFF,jp txd off,JPTXD,registered
538009711.0,JP KND,jp knd,JPKND,registered
440120000.0,JPHSM,jphsm,JPHSM,registered
